support,itemsets
0.7,frozenset({'Bread'})
0.7,frozenset({'Milk'})
0.7,frozenset({'Cheese'})
0.6,frozenset({'Butter'})
0.5,frozenset({'Jam'})
0.7,frozenset({'Eggs'})
0.6,frozenset({'Fruits'})
0.5,"frozenset({'Milk', 'Bread'})"
0.4,"frozenset({'Cheese', 'Bread'})"
0.5,"frozenset({'Butter', 'Bread'})"
0.5,"frozenset({'Jam', 'Bread'})"
0.6,"frozenset({'Eggs', 'Bread'})"
0.4,"frozenset({'Fruits', 'Bread'})"
0.5,"frozenset({'Cheese', 'Milk'})"
0.4,"frozenset({'Milk', 'Butter'})"
0.3,"frozenset({'Milk', 'Jam'})"
0.4,"frozenset({'Eggs', 'Milk'})"
0.5,"frozenset({'Milk', 'Fruits'})"
0.4,"frozenset({'Cheese', 'Butter'})"
0.5,"frozenset({'Cheese', 'Eggs'})"
0.4,"frozenset({'Cheese', 'Fruits'})"
0.3,"frozenset({'Butter', 'Jam'})"
0.6,"frozenset({'Eggs', 'Butter'})"
0.3,"frozenset({'Butter', 'Fruits'})"
0.4,"frozenset({'Eggs', 'Jam'})"
0.3,"frozenset({'Eggs', 'Fruits'})"
0.3,"frozenset({'Cheese', 'Milk', 'Bread'})"
0.4,"frozenset({'Milk', 'Butter', 'Bread'})"
0.3,"frozenset({'Milk', 'Jam', 'Bread'})"
0.4,"frozenset({'Eggs', 'Milk', 'Bread'})"
0.3,"frozenset({'Fruits', 'Milk', 'Bread'})"
0.3,"frozenset({'Cheese', 'Butter', 'Bread'})"
0.4,"frozenset({'Cheese', 'Eggs', 'Bread'})"
0.3,"frozenset({'Jam', 'Butter', 'Bread'})"
0.5,"frozenset({'Eggs', 'Butter', 'Bread'})"
0.3,"frozenset({'Fruits', 'Butter', 'Bread'})"
0.4,"frozenset({'Eggs', 'Jam', 'Bread'})"
0.3,"frozenset({'Fruits', 'Eggs', 'Bread'})"
0.3,"frozenset({'Cheese', 'Milk', 'Butter'})"
0.3,"frozenset({'Eggs', 'Cheese', 'Milk'})"
0.4,"frozenset({'Cheese', 'Milk', 'Fruits'})"
0.4,"frozenset({'Eggs', 'Milk', 'Butter'})"
0.4,"frozenset({'Cheese', 'Eggs', 'Butter'})"
0.3,"frozenset({'Eggs', 'Butter', 'Jam'})"
0.3,"frozenset({'Eggs', 'Butter', 'Fruits'})"
0.3,"frozenset({'Cheese', 'Milk', 'Butter', 'Bread'})"
0.3,"frozenset({'Eggs', 'Cheese', 'Milk', 'Bread'})"
0.4,"frozenset({'Eggs', 'Milk', 'Butter', 'Bread'})"
0.3,"frozenset({'Cheese', 'Eggs', 'Butter', 'Bread'})"
0.3,"frozenset({'Eggs', 'Jam', 'Butter', 'Bread'})"
0.3,"frozenset({'Fruits', 'Eggs', 'Butter', 'Bread'})"
0.3,"frozenset({'Eggs', 'Cheese', 'Milk', 'Butter'})"
0.3,"frozenset({'Eggs', 'Milk', 'Bread', 'Butter', 'Cheese'})"
